dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
yelp,B_blind,42,BASE,0,28293,11966,0.10131737458949057,0.7785152523009905,14,False
yelp,B_blind,42,BASE,1,8479,5222,0.10628453897965347,0.6455346128906869,14,False
yelp,B_blind,42,BASE,2,0,0,,,0,True
yelp,B_blind,42,SIT,0,28293,11966,0.08415076788717098,0.7900696937601367,14,False
yelp,B_blind,42,SIT,1,8479,5222,0.12208721268549534,0.6346105709400457,14,False
yelp,B_blind,42,SIT,2,0,0,,,0,True
yelp,B_blind,42,Steck-b,0,28293,11966,0.10460193214872272,0.7783807769505051,14,False
yelp,B_blind,42,Steck-b,1,8479,5222,0.10853990436721939,0.6452758227316077,14,False
yelp,B_blind,42,Steck-b,2,0,0,,,0,True
yelp,B_full,42,BASE,0,28293,11966,0.07739699382205878,0.7941671748170753,14,False
yelp,B_full,42,BASE,1,8479,5222,0.1521446823897474,0.6111896153616282,14,False
yelp,B_full,42,BASE,2,0,0,,,0,True
yelp,B_full,42,SIT,0,28293,11966,0.07654478431394111,0.7942402291024662,14,False
yelp,B_full,42,SIT,1,8479,5222,0.15454000657765457,0.6082883311154477,14,False
yelp,B_full,42,SIT,2,0,0,,,0,True
yelp,B_full,42,Steck-b,0,28293,11966,0.07809993681149731,0.7941861478221912,14,False
yelp,B_full,42,Steck-b,1,8479,5222,0.15437118047316867,0.6098177489724563,14,False
yelp,B_full,42,Steck-b,2,0,0,,,0,True
yelp,EASE,42,BASE,0,28293,11966,0.09203989588799785,0.7923340648238573,14,False
yelp,EASE,42,BASE,1,8479,5222,0.09750046365182659,0.6616554877592733,14,False
yelp,EASE,42,BASE,2,0,0,,,0,True
yelp,EASE,42,SIT,0,28293,11966,0.0772906929828153,0.7936920139420178,14,False
yelp,EASE,42,SIT,1,8479,5222,0.11817212589280622,0.632834221859206,14,False
yelp,EASE,42,SIT,2,0,0,,,0,True
yelp,EASE,42,Steck-b,0,28293,11966,0.13897582416479348,0.6174928647174309,14,False
yelp,EASE,42,Steck-b,1,8479,5222,0.14166384612658026,0.5731467566466216,14,False
yelp,EASE,42,Steck-b,2,0,0,,,0,True
yelp,DeepFM,42,BASE,0,28293,11966,0.08620417165774433,0.7725261238936764,14,False
yelp,DeepFM,42,BASE,1,8479,5222,0.13704073939718056,0.6021073300783768,14,False
yelp,DeepFM,42,BASE,2,0,0,,,0,True
yelp,DeepFM,42,SIT,0,28293,11966,0.08105879659942324,0.7861814299930537,14,False
yelp,DeepFM,42,SIT,1,8479,5222,0.1476615496842562,0.5796214797642975,14,False
yelp,DeepFM,42,SIT,2,0,0,,,0,True
yelp,DeepFM,42,Steck-b,0,28293,11966,0.08710623156183532,0.7721896856988938,14,False
yelp,DeepFM,42,Steck-b,1,8479,5222,0.13876355931712045,0.6007786633081615,14,False
yelp,DeepFM,42,Steck-b,2,0,0,,,0,True
yelp,AFM,42,BASE,0,28293,11966,0.08972438344915537,0.781881616998048,14,False
yelp,AFM,42,BASE,1,8479,5222,0.09305602070619194,0.6537496722298972,14,False
yelp,AFM,42,BASE,2,0,0,,,0,True
yelp,AFM,42,SIT,0,28293,11966,0.0842866672048629,0.7896851805111053,14,False
yelp,AFM,42,SIT,1,8479,5222,0.097186906323803,0.6488485815735765,14,False
yelp,AFM,42,SIT,2,0,0,,,0,True
yelp,AFM,42,Steck-b,0,28293,11966,0.0909229888642055,0.7838569895302427,14,False
yelp,AFM,42,Steck-b,1,8479,5222,0.09426861023590519,0.6544946182236654,14,False
yelp,AFM,42,Steck-b,2,0,0,,,0,True
yelp,FPMC,42,BASE,0,28293,11966,0.113990200521198,0.7665069662999326,14,False
yelp,FPMC,42,BASE,1,8479,5222,0.15428497299487157,0.62119939556201,14,False
yelp,FPMC,42,BASE,2,0,0,,,0,True
yelp,FPMC,42,SIT,0,28293,11966,0.09771764440149652,0.7805868478679914,14,False
yelp,FPMC,42,SIT,1,8479,5222,0.16626716567359154,0.6027992315834944,14,False
yelp,FPMC,42,SIT,2,0,0,,,0,True
yelp,FPMC,42,Steck-b,0,28293,11966,0.11649353020576061,0.7670553836314488,14,False
yelp,FPMC,42,Steck-b,1,8479,5222,0.1565203945213978,0.6208957927097593,14,False
yelp,FPMC,42,Steck-b,2,0,0,,,0,True
yelp,SASRec,42,BASE,0,28293,11966,0.10901043043720804,0.765955013505262,14,False
yelp,SASRec,42,BASE,1,8479,5222,0.1841264738832503,0.5489406629045417,14,False
yelp,SASRec,42,BASE,2,0,0,,,0,True
yelp,SASRec,42,SIT,0,28293,11966,0.09761981090998766,0.7917166875948669,14,False
yelp,SASRec,42,SIT,1,8479,5222,0.19263223882752514,0.5207961640367718,14,False
yelp,SASRec,42,SIT,2,0,0,,,0,True
yelp,SASRec,42,Steck-b,0,28293,11966,0.1134705543858656,0.7782505219529321,14,False
yelp,SASRec,42,Steck-b,1,8479,5222,0.18657224112013301,0.5543174289226637,14,False
yelp,SASRec,42,Steck-b,2,0,0,,,0,True
yelp,B_blind,43,BASE,0,8479,5222,0.10628453897965347,0.6455346128906869,14,False
yelp,B_blind,43,BASE,1,28293,11966,0.10131737458949057,0.7785152523009905,14,False
yelp,B_blind,43,BASE,2,0,0,,,0,True
yelp,B_blind,43,SIT,0,8479,5222,0.11161905663774944,0.6421263279245594,14,False
yelp,B_blind,43,SIT,1,28293,11966,0.10085743757082143,0.7788651435938,14,False
yelp,B_blind,43,SIT,2,0,0,,,0,True
yelp,B_blind,43,Steck-b,0,8479,5222,0.10996334158626454,0.6450042173063527,14,False
yelp,B_blind,43,Steck-b,1,28293,11966,0.1027814069467106,0.7783795971117285,14,False
yelp,B_blind,43,Steck-b,2,0,0,,,0,True
yelp,B_full,43,BASE,0,8479,5222,0.15260498139823292,0.5951755996803139,14,False
yelp,B_full,43,BASE,1,28293,11966,0.0812003020982083,0.7920737442918755,14,False
yelp,B_full,43,BASE,2,0,0,,,0,True
yelp,B_full,43,SIT,0,8479,5222,0.1626228537231018,0.5839828309473859,14,False
yelp,B_full,43,SIT,1,28293,11966,0.08101859262622262,0.7920807182033744,14,False
yelp,B_full,43,SIT,2,0,0,,,0,True
yelp,B_full,43,Steck-b,0,8479,5222,0.1577403436795615,0.5941428043278106,14,False
yelp,B_full,43,Steck-b,1,28293,11966,0.08175307128371369,0.7916841658406841,14,False
yelp,B_full,43,Steck-b,2,0,0,,,0,True
yelp,EASE,43,BASE,0,8479,5222,0.09750046365182659,0.6616554877592733,14,False
yelp,EASE,43,BASE,1,28293,11966,0.09203989588799785,0.7923340648238573,14,False
yelp,EASE,43,BASE,2,0,0,,,0,True
